Authors,Title,Year,Link,DOI,SuggestedInclusion1,SuggestedInclusion2,derived decision,FinalDecision
"S Anand, V Verma, AG Aggarwal",2-Dimensional multi-release software reliability modelling considering fault reduction factor under imperfect debugging,2018,https://doi.org/10.16925/.v14i0.2229,10.16925/.v14i0.2229,1. NO,1. NO,1. NO,1. NO
"K SEKI, M IWASAKI",3D25 Modeling of Shaking Table Systems Aided by Multi-Body Dynamics Software (The 12th International Conference on Motion and Vibration Control),2014,https://doi.org/10.1299/jsmemovic.2014.12._3D25-1_,10.1299/jsmemovic.2014.12._3D25-1_,1. NO,1. NO,1. NO,1. NO
"P Siegl, R Buchty, M Berekovic","A bandwidth accurate, flexible and rapid simulating multi-HMC modeling tool",2017,https://dl.acm.org/doi/abs/10.1145/3132402.3132403,10.1145/3132402.3132403,2. MAYBE,2. MAYBE,2. MAYBE,1. NO
"B Ternes, S Strecker, K Rosenthal, H Barth",A browser-based modeling tool for studying the learning of conceptual modeling based on a multi-modal data collection approach,2019,https://aisel.aisnet.org/wi2019/specialtrack03/papers/7/,,1. NO,2. MAYBE,1. NO,1. NO
BB Machado,A cloud deployed repository for a multi-view component-based modeling CASE tool,2009,https://repositorio.ufpe.br/handle/123456789/2228,,1. NO,1. NO,1. NO,1. NO
"I Herwono, FA El",A Collaborative Tool for Modelling Multi-stage Attacks.,2017,https://www.scitepress.org/papers/2017/61371/61371.pdf,,1. NO,1. NO,1. NO,1. NO
"B Choudhuri, R Sen, SK Gho, et al.",A Comparative Modeling and Multi-Objective Optimization in Wire EDM Process on H21 Tool Steel Using Intelligent Hybrid Approach,2017,https://www.researchgate.net/profile/Bikash_Choudhuri/publication/312263436_A_Comparative_Modeling_and_Multi-_Objective_Optimization_in_Wire_EDM_Process_on_H21_Tool_Steel_Using_Intelligent_Hybrid_Approach/links/58c6a3c592851c0ccbff707e/A-Comparative-Modeling-and-Multi-Objective-Optimization-in-Wire-EDM-Process-on-H21-Tool-Steel-Using-Intelligent-Hybrid-Approach.pdf,,1. NO,1. NO,1. NO,1. NO
"R Jeffery, M Ruhe, I Wieczorek",A comparative study of two software development cost modeling techniques using multi-organizational and company-specific data,2000,https://www.sciencedirect.com/science/article/pii/S0950584900001531,,1. NO,1. NO,1. NO,1. NO
"B Ghammraoui, J Tabary, C Paul, et al.",A complete and multi purpose software tool for modeling energy dispersive X-ray diffraction,2011,https://ieeexplore.ieee.org/abstract/document/6154615/,,1. NO,2. MAYBE,1. NO,1. NO
"R Domínguez, JM Framinan",A decision management tool: modelling the order fulfilment process by multi-agent systems,2013,https://www.inderscienceonline.com/doi/abs/10.1504/IJMDM.2013.056457,10.1504/IJMDM.2013.056457,3. YES,2. MAYBE,3. YES,3. YES
"T Kitagawa, T Maruta, Y Ikk, et al.",A description language based on multi-functional modeling and a supply chain simulation tool,2000,https://ieeexplore.ieee.org/abstract/document/886457/,,1. NO,1. NO,1. NO,1. NO
"Q Baorong, W Ningsheng",A Fuzzy-Comprehensive-Evaluation-Based Multi-Level Decision Model for Machine tool Selection,2003,http://en.cnki.com.cn/Article_en/CJFDTotal-ZGJX200303012.htm,,1. NO,1. NO,1. NO,1. NO
"PK Kapur, G Mish, et al.",A generalized framework for modelling multi up-gradations of a software with testing effort and change point,2016,https://ieeexplore.ieee.org/abstract/document/7542348/,,1. NO,1. NO,1. NO,1. NO
